\*\*\*\*\*,censored,,
\*\*\*\*\*\*,censored,,
\*\*\*\*\*\*\*,censored,,
\*\*\*\*\*\*\*\*,censored,,
\*\*\*\*\*\*\*\*\*\*,censored,,
\*\*ttu,censored,,
\*\*tun,censored,,
\*askaa,censored,,
\*ittu,censored,,
\*itun,censored,,
ääliö,insult,,
ahteri,body,,
aisuri,insult,body,men
aivokääpiö,insult,,
aivoton,insult,,
akka,insult,women,
akkas,insult,women,
alapää,body,,
älykääpiö,insult,,
ämmä,insult,women,
anaali,body,,
anus,body,,
äpärä,insult,,
bimbo,body,women,
bullshittiä,common,,
daiju,insult,,
dille,insult,,
dorka,insult,,
eukko,insult,women,
femakko,insult,women,
finninaama,insult,,
gigolo,insult,body,men
h\*lvetin,censored,,
haara väli,body,,
haaroväliin,body,,
haist,common,,
haista,common,,
haistakaa,common,,
haistakoon,common,,
haistattaa,common,,
hanuri,body,,
hanuriis,body,,
hanurista,body,,
heivetin,common,religious,
hel\*etin,censored,,
hele vatti,weak,,
hele vattu,weak,,
helekutin,weak,,
helevata,weak,,
helevatan,weak,,
helevetin,weak,,
helevetissä,weak,,
helevetti,weak,,
helevettiin,weak,,
helkatti,weak,,
helkkari,weak,,
helkkarissa,weak,,
helkutti,weak,,
helskutti,weak,,
helv,weak,,
helvata,weak,,
helvatan,weak,,
helvatin,weak,,
helvatun,weak,,
helve tii,religious,,
helvetti,religious,common,
helvettii,religious,common,
helvettin,religious,common,
hemmetti,weak,,
hepo paska,common,,
heppi,body,,
heppiä,body,,
herra jumala,religious,,
herraisä,religious,,
herrajumala,religious,,
herranjumala,religious,,
hiivatti,weak,,
himputin,weak,,
himskatin,weak,,
hinttari,insult,slur,men
hintti,insult,slur,men
hitsi,weak,,
hitto,weak,,
hittolainen,weak,,
hlvetin,religious,,
homppeli,weak,insult,
horatsu,insult,women,
horo,insult,women,
horoa,insult,women,
horoja,insult,women,
horojen,insult,women,
horoksi,insult,women,
horon,insult,women,
horoperse,insult,women,
horot,insult,women,
h-tin,censored,,
huara,insult,women,
huomio huora,insult,women,
huora,insult,women,
huora pukki,insult,women,
huoripukki,insult,women,
hutsu,insult,women,
h-vetin,censored,,
hyypiö,weak,insult,
idiootti,insult,,
idiotti,insult,,
ihra perse,insult,,
imbesilli,insult,slur,
impotentti,insult,body,
inisijä,insult,,
isäs,insult,,
itkupilli,insult,weak,
ittu,common,,
jako rasi,insult,women,
jakorasia,insult,women,
jalkoväli,body,,
jaskaa,weak,,
juippi,insult,,
jukoliste,weak,,
juma,weak,,
jumakauta,weak,,
jumalauta,common,,
jumaliste,common,,
jumankauta,common,,
jumankekka,weak,,
juntti,insult,,
juoppo,insult,,
kaappihomo,insult,slur,men
kaheli,insult,,
kahjo,insult,,
kalu,body,,
kankku,body,,
katu huora,insult,women,
kehari,insult,slur,
kele,weak,,
keleen,weak,,
kiesus,weak,,
kikkeli,body,,
kulli,body,,
kura paska,common,,
kurppa,insult,women,
kusi,common,,
kusi aivo,common,insult,
kusi pää,common,insult,
kusinen,common,,
kusipää,common,insult,
kusipäinen,common,insult,
kuspää,common,insult,
kyrpä,body,,
kyylä,insult,,
lahopää,insult,,
läski,insult,,
läski pää,insult,,
läski perse,insult,body,
läskikasa,insult,,
läskinen,insult,,
läskiperse,insult,body,
läskipersu,insult,,
lässyttäjä,insult,,
lerssi,body,,
limanuljaska,insult,,
looseri,insult,,
lortto,insult,women,
lumppu,insult,women,
lunttu,insult,women,
lusmu,insult,,
lutka,insult,women,
luuseri,insult,,
luuska,insult,women,
mälli,body,,
mammanpoika,insult,,
mäti säkki,insult,,
mela,body,,
mielipuoli,insult,,
mies huora,insult,body,men
molo,body,,
moloa,body,,
molon,body,,
molopää,body,insult,
moukka,insult,,
muija,insult,women,
muijas,insult,women,
mulkero,insult,men,
mulkku,insult,body,men
mulkvisti,insult,,
muna haukka,insult,body,
muna pää,insult,,
munaton,insult,body,men
mutsis,insult,,
narkki,insult,,
nilkki,insult,,
nirppanokka,insult,,
noita-akka,insult,women,
nussia,body,,
nyhverö,insult,,
öykkäri,insult,,
p\.aska,common,,
p\.askaa,common,,
p\.skaa,common,,
p@skaa,censored,,
p\*\*\*\*,censored,,
p\*\*\*\*\*,censored,,
p\*\*\*\*a,censored,,
p\*\*\*\*n,censored,,
p\*\*\*a,censored,,
p\*\*\*aa,censored,,
p\*\*ka,censored,,
p\*\*kaa,censored,,
p\*rkele,censored,,
p\*rse,censored,,
p\*rsettä,censored,,
p\*ska,censored,,
p\*skaa,censored,,
p\*skan,censored,,
p\*skat,censored,,
p reikä,censored,,
pa\*ka,censored,,
pa\*kaa,censored,,
pa5kaa,censored,,
paaskaa,common,,
pakarat,body,,
paksa,censored,,
paksaa,censored,,
pallinaama,insult,men,
pallit,body,,
paneen,body,,
pano mies,body,,
pano puu,body,,
panomies,body,men,
panopuu,body,,
pas,censored,,
pas\*\*\*,censored,,
pas\*a,censored,,
pas\*aa,censored,,
pascaa,censored,,
pask,censored,,
paska,common,,
pas-ka,common,,
paska aivo,common,insult,
paska kasa,common,,
paska läjä,common,,
paska maha,common,,
paska pää,common,insult,
paska perse,common,,
paska puhe,common,,
paska reikä,common,,
paskaa,common,,
pas-kaa,common,,
paskaaa,common,,
paskaas,common,,
paskahousu,common,insult,
paskakasa,common,insult,
paskakin,common,,
paskaläjä,common,insult,
paskaltahaisen,common,,
paskamainen,common,,
pas-kan,common,,
paskanjauhaja,common,insult,
paskanpuhuja,common,insult,
paskapää,common,insult,
paskas,common,,
paskat,common,,
paskempaa,common,,
paskempi,common,,
paskiainen,common,,
pässinpää,insult,,
passka,common,,
passkaa,common,,
paukapää,insult,,
pazka,censored,,
pazkaa,censored,,
peelo,insult,,
peeveli,weak,,
peffa,weak,body,
pehva,weak,body,
pelkuri,insult,,
pelle,insult,,
pentele,weak,religious,
peppu,weak,body,
peppu reikä,body,,
perä reikä,body,,
perä rööri,body,,
peräaukko,body,,
peräkammarinpoika,insult,men,
peräreikä,body,,
perceestä,censored,,
percettä,censored,,
perhana,weak,,
perk,common,,
perkeet ele,common,religious,
perkele,common,religious,
per-kele,common,religious,
perkelee,common,religious,
perkeleen,common,religious,
perkeleet,common,religious,
perkelen,common,religious,
perkeles,common,religious,
perkkele,common,religious,
perkule,weak,religious,
perkuleen,weak,religious,
perkules,weak,religious,
pers,body,,
persaukset,body,,
persaus,body,,
perse,body,common,
perse itä,body,,
perse reikä,body,,
perse silmä,body,,
perse vako,body,,
perseennuolija,insult,body,common
persees,body,,common
perseesee,body,,common
perseesees,body,,common
perseest,body,,common
perseestä,body,,common
persereikä,body,,common
persettäs,body,,common
persiiseen,body,weak,
persiisiin,body,weak,
persiistä,body,weak,
perskele,weak,,
perskeles,weak,,
perskuleen,weak,,
perskules,weak,,
persläpi,body,,
persreiän,body,,
persreikä,body,,
persreikää,body,,
persreikään,body,,
persukset,weak,body,
persus,body,weak,
persuukset,body,weak,
persuus,body,weak,
pervo,body,insult,
pienimunainen,insult,body,men
pihtari,insult,women,
pikku huora,insult,women,
pikku lutka,insult,women,
pikku muna,insult,body,men
pikku pillu,insult,women,
pili,body,,
pillu,body,,
pillus,body,,
pimppa,body,,
pimppi,body,,
pimpsa,body,,
pimu,insult,women,
pipipää,insult,,
pippeli,body,,
piri huora,insult,women,
piru,religious,,
plösö,insult,,
pölvästi,insult,,
pömppömaha,insult,,
pösilö,insult,,
prkele,censored,,
prkl,censored,,
prkle,censored,,
prkleen,censored,,
pska,censored,,
pskaa,censored,,
p-skaa,censored,,
pskan,censored,,
pskat,censored,,
puupää,insult,,
pylly,body,,
pylly reikä,body,,
pyllyy,body,,
rääväsuu,insult,,
raukkis,insult,,
renttu,insult,men,
retku,insult,,
ripuli paska,common,,
ristus,religious,,
ruikuttaja,insult,,
runkkari,insult,body,
runkku,body,,
runkut,body,,
rupinen,insult,,
ryppy reikä,body,,
s\*\*tana,censored,religious,
s\*\*tanan,censored,religious,
s\*atana,censored,religious,
s\*atanan,censored,religious,
saaatana,religious,,
saaatanan,religious,,
saakeli,weak,,
saakelin,weak,,
saakutin,weak,,
säälittävä,insult,,
saamari,weak,,
saamarin,weak,,
saatana,religious,common,
saa-tana,religious,common,
saatanallinen,religious,common,
saatanan,religious,common,
saa-tanan,religious,common,
saatanat,religious,common,
saatnan,religious,common,
saissea,weak,,
samperi,weak,,
samperin,weak,,
satana,religious,common,
satanan,religious,common,
schaissea,common,,
scheissea,common,,
seinähullu,insult,,
sekopää,insult,,
selkärangaton,insult,,
setämies,insult,men,
shaibaa,common,,
shaissea,common,,
shaissee,common,,
shitti,common,,
shittiä,common,,
shittii,common,,
siitin,body,,
skaa,censored,,
skeida,common,,
sonta,common,,
sonta kasa,common,,
sonta läjä,common,,
sotanorsu,insult,women,
sovinisti,insult,men,
sovinisti sika,insult,men,
spede,insult,,
spurgu,insult,,
stana,censored,,
stanan,censored,,
s-tanan,censored,,
stn,censored,,
stna,censored,,
stnan,censored,,
suomi akka,insult,women,
suomi ämmä,insult,women,
surkimus,insult,,
tali aivo,insult,,
taliaivo,insult,,
tampio,insult,,
tana,censored,,
tanan,censored,,
taukki,insult,,
taulapää,insult,,
tautinen,insult,,
tissit,body,,
tisut,body,,
tollo,insult,,
tolvana,insult,,
tomppeli,insult,,
toope,insult,,
törppö,insult,,
tsiisus,weak,religious,
ttu,censored,,
tuhero,body,,
tuhka muna,insult,men,
tuhkamuna,insult,men,
tunari,insult,,
tussu,body,,
tyhjäpää,insult,,
typerys,insult,,
tyrkky,insult,women,
ukkos,insult,,
urpo,insult,,
urvelo,insult,,
utareet,body,,
v\.tun,censored,,
v\*\*\*\*,censored,,
v\*\*\*\*\*,censored,,
v\*\*\*n,censored,,
v\*\*\*u,censored,,
v\*\*tu,censored,,
v\*\*un,censored,,
v\*ttu,censored,,
v\*tun,censored,,
v1tun,censored,,
vähä-älyinen,insult,,
vajaaälyinen,insult,slur,
vajakki,insult,slur,
vajukki,insult,slur,
vako,body,,
vammanen,insult,slur,
vammaset,insult,slur,
vässykkä,insult,,
vatipää,insult,,
vattu,weak,,
vätys,insult,,
vellihousu,insult,,
venakko,insult,women,
vi\*\*u,censored,,
vi\*un,censored,,
viddu,censored,,
vidu,censored,,
vidun,censored,,
vit\*n,censored,,
vitttu,common,,
vittu,common,,
vit-tu,common,,
vittu pää,common,,
vittuku,common,,
vittumainen,common,,
vittun,common,,
vittuu,common,,
vitu,common,,
vitun,common,,
vitut,common,,
vosu,insult,women,
vosuja,insult,women,
vosun,insult,women,
vosut,insult,women,
vttu,censored,,
vtu,censored,,
vtun,censored,,
v-tun,censored,,
wittu,censored,,
witun,censored,,
ziisus,weak,religious,
